analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
transition_near_country,AE,8,8,8,0,0,True,,,
transition_near_country,AL,20,20,20,0,0,True,,,
transition_near_country,AU,561,561,561,0,0,True,,,
transition_near_country,AX,3,3,3,0,0,True,,,
transition_near_country,BH,8,8,8,0,0,True,,,
transition_near_country,BJ,4,4,4,0,0,True,,,
transition_near_country,BR,5,5,5,0,0,True,,,
transition_near_country,CA,4,4,4,0,0,True,,,
transition_near_country,CM,2,2,2,0,0,True,,,
transition_near_country,CN,4,4,4,0,0,True,,,
transition_near_country,CO,1,1,1,0,0,True,,,
transition_near_country,CV,2,2,2,0,0,True,,,
transition_near_country,CW,1,1,1,0,0,True,,,
transition_near_country,CY,7,7,7,0,0,True,,,
transition_near_country,DJ,12,12,12,0,0,True,,,
transition_near_country,DK,38,38,38,0,0,True,,,
transition_near_country,DO,2,2,2,0,0,True,,,
transition_near_country,EE,16,16,16,0,0,True,,,
transition_near_country,ES,14,14,14,0,0,True,,,
transition_near_country,FI,131,131,131,0,0,True,,,
transition_near_country,FR,10,10,10,0,0,True,,,
transition_near_country,GH,4,4,4,0,0,True,,,
transition_near_country,GR,183,183,183,0,0,True,,,
transition_near_country,GU,2,2,2,0,0,True,,,
transition_near_country,HK,130,130,130,0,0,True,,,
transition_near_country,HN,13,13,13,0,0,True,,,
transition_near_country,ID,17,17,17,0,0,True,,,
transition_near_country,IE,16,16,16,0,0,True,,,
transition_near_country,IL,9,9,9,0,0,True,,,
transition_near_country,IN,3,3,3,0,0,True,,,
transition_near_country,IT,2,2,2,0,0,True,,,
transition_near_country,JP,2,2,2,0,0,True,,,
transition_near_country,KE,7,7,7,0,0,True,,,
transition_near_country,KY,2,2,2,0,0,True,,,
transition_near_country,LK,6,6,6,0,0,True,,,
transition_near_country,MM,4,4,4,0,0,True,,,
transition_near_country,MP,2,2,2,0,0,True,,,
transition_near_country,MT,4,4,4,0,0,True,,,
transition_near_country,MU,1,1,1,0,0,True,,,
transition_near_country,MV,19,19,19,0,0,True,,,
transition_near_country,MX,4,4,4,0,0,True,,,
transition_near_country,MY,6,6,6,0,0,True,,,
transition_near_country,MZ,3,3,3,0,0,True,,,
transition_near_country,NG,29,29,29,0,0,True,,,
transition_near_country,NO,62,62,62,0,0,True,,,
transition_near_country,NU,2,2,2,0,0,True,,,
transition_near_country,NZ,96,96,96,0,0,True,,,
transition_near_country,PA,3,3,3,0,0,True,,,
transition_near_country,PE,15,15,15,0,0,True,,,
transition_near_country,PG,2,2,2,0,0,True,,,
transition_near_country,PH,89,89,89,0,0,True,,,
transition_near_country,PK,14,14,14,0,0,True,,,
transition_near_country,PR,4,4,4,0,0,True,,,
transition_near_country,PT,4,4,4,0,0,True,,,
transition_near_country,QA,2,2,2,0,0,True,,,
transition_near_country,RE,51,51,51,0,0,True,,,
transition_near_country,SE,265,265,265,0,0,True,,,
transition_near_country,SG,120,120,120,0,0,True,,,
transition_near_country,SN,2,2,2,0,0,True,,,
transition_near_country,TG,2,2,2,0,0,True,,,
transition_near_country,TH,1,1,1,0,0,True,,,
transition_near_country,TO,2,2,2,0,0,True,,,
transition_near_country,TR,16,16,16,0,0,True,,,
transition_near_country,TW,77,77,77,0,0,True,,,
transition_near_country,US,164,164,164,0,0,True,,,
transition_near_country,VI,4,4,4,0,0,True,,,
transition_near_country,ZA,39,39,39,0,0,True,,,
probe_country_service,,5,5,5,0,0,True,AD,L-Root,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,AD,L-Root,resolved_entry_only
probe_country_service,,7,7,7,0,0,True,AE,L-Root,all_publicly_visible
probe_country_service,,7,7,7,0,0,True,AE,L-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,AF,L-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,AF,L-Root,resolved_entry_only
probe_country_service,,11,11,11,0,0,True,AL,L-Root,all_publicly_visible
probe_country_service,,10,10,10,0,0,True,AL,L-Root,resolved_entry_only
probe_country_service,,197,197,197,0,0,True,AU,L-Root,all_publicly_visible
probe_country_service,,197,197,197,0,0,True,AU,L-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,AX,L-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,AX,L-Root,resolved_entry_only
probe_country_service,,9,9,9,0,0,True,BD,L-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,BD,L-Root,resolved_entry_only
probe_country_service,,12,12,12,0,0,True,BE,L-Root,all_publicly_visible
probe_country_service,,12,12,12,0,0,True,BE,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,BG,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BG,L-Root,resolved_entry_only
probe_country_service,,8,8,8,0,0,True,BH,L-Root,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,BH,L-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,BJ,L-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,BJ,L-Root,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,BO,L-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,BO,L-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,BR,L-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,BR,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,BY,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BY,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,BZ,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BZ,L-Root,resolved_entry_only
probe_country_service,,7,7,7,0,0,True,CA,L-Root,all_publicly_visible
probe_country_service,,7,7,7,0,0,True,CA,L-Root,resolved_entry_only
probe_country_service,,8,8,8,0,0,True,CH,L-Root,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,CH,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,CM,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,CM,L-Root,resolved_entry_only
probe_country_service,,14,14,14,0,0,True,CN,L-Root,all_publicly_visible
probe_country_service,,10,10,10,0,0,True,CN,L-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,CO,L-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,CO,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,CV,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,CV,L-Root,resolved_entry_only
probe_country_service,,7,7,7,0,0,True,CY,L-Root,all_publicly_visible
probe_country_service,,7,7,7,0,0,True,CY,L-Root,resolved_entry_only
probe_country_service,,16,16,16,0,0,True,CZ,L-Root,all_publicly_visible
probe_country_service,,16,16,16,0,0,True,CZ,L-Root,resolved_entry_only
probe_country_service,,49,49,49,0,0,True,DE,L-Root,all_publicly_visible
probe_country_service,,49,49,49,0,0,True,DE,L-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,DJ,L-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,DJ,L-Root,resolved_entry_only
probe_country_service,,58,58,58,0,0,True,DK,L-Root,all_publicly_visible
probe_country_service,,58,58,58,0,0,True,DK,L-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,DO,L-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,DO,L-Root,resolved_entry_only
probe_country_service,,26,26,26,0,0,True,EE,L-Root,all_publicly_visible
probe_country_service,,26,26,26,0,0,True,EE,L-Root,resolved_entry_only
probe_country_service,,24,24,24,0,0,True,ES,L-Root,all_publicly_visible
probe_country_service,,24,24,24,0,0,True,ES,L-Root,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,ET,L-Root,all_publicly_visible
probe_country_service,,110,110,110,0,0,True,FI,L-Root,all_publicly_visible
probe_country_service,,109,109,109,0,0,True,FI,L-Root,resolved_entry_only
probe_country_service,,41,41,41,0,0,True,FR,L-Root,all_publicly_visible
probe_country_service,,39,39,39,0,0,True,FR,L-Root,resolved_entry_only
probe_country_service,,12,12,12,0,0,True,GB,L-Root,all_publicly_visible
probe_country_service,,12,12,12,0,0,True,GB,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,GE,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,GE,L-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,GH,L-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,GH,L-Root,resolved_entry_only
probe_country_service,,36,36,36,0,0,True,GR,L-Root,all_publicly_visible
probe_country_service,,36,36,36,0,0,True,GR,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,GT,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,GT,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,GU,L-Root,all_publicly_visible
probe_country_service,,57,57,57,0,0,True,HK,L-Root,all_publicly_visible
probe_country_service,,57,57,57,0,0,True,HK,L-Root,resolved_entry_only
probe_country_service,,11,11,11,0,0,True,HN,L-Root,all_publicly_visible
probe_country_service,,11,11,11,0,0,True,HN,L-Root,resolved_entry_only
probe_country_service,,10,10,10,0,0,True,HR,L-Root,all_publicly_visible
probe_country_service,,10,10,10,0,0,True,HR,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,HU,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,HU,L-Root,resolved_entry_only
probe_country_service,,28,28,28,0,0,True,ID,L-Root,all_publicly_visible
probe_country_service,,28,28,28,0,0,True,ID,L-Root,resolved_entry_only
probe_country_service,,10,10,10,0,0,True,IE,L-Root,all_publicly_visible
probe_country_service,,10,10,10,0,0,True,IE,L-Root,resolved_entry_only
probe_country_service,,17,17,17,0,0,True,IL,L-Root,all_publicly_visible
probe_country_service,,17,17,17,0,0,True,IL,L-Root,resolved_entry_only
probe_country_service,,5,5,5,0,0,True,IN,L-Root,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,IN,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,IT,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,IT,L-Root,resolved_entry_only
probe_country_service,,27,27,27,0,0,True,JP,L-Root,all_publicly_visible
probe_country_service,,25,25,25,0,0,True,JP,L-Root,resolved_entry_only
probe_country_service,,9,9,9,0,0,True,KE,L-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,KE,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,KI,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,KI,L-Root,resolved_entry_only
probe_country_service,,13,13,13,0,0,True,KR,L-Root,all_publicly_visible
probe_country_service,,13,13,13,0,0,True,KR,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,KY,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,KY,L-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,LA,L-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,LA,L-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,LK,L-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,LK,L-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,LT,L-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,LT,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,LU,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,LU,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,ML,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,ML,L-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,MM,L-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,MM,L-Root,resolved_entry_only
probe_country_service,,16,16,16,0,0,True,MN,L-Root,all_publicly_visible
probe_country_service,,16,16,16,0,0,True,MN,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,MP,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MT,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MT,L-Root,resolved_entry_only
probe_country_service,,19,19,19,0,0,True,MV,L-Root,all_publicly_visible
probe_country_service,,17,17,17,0,0,True,MV,L-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,MX,L-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,MX,L-Root,resolved_entry_only
probe_country_service,,67,67,67,0,0,True,MY,L-Root,all_publicly_visible
probe_country_service,,67,67,67,0,0,True,MY,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,MZ,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MZ,L-Root,resolved_entry_only
probe_country_service,,368,368,368,0,0,True,NA,L-Root,all_publicly_visible
probe_country_service,,363,363,363,0,0,True,NA,L-Root,resolved_entry_only
probe_country_service,,9,9,9,0,0,True,NG,L-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,NG,L-Root,resolved_entry_only
probe_country_service,,19,19,19,0,0,True,NL,L-Root,all_publicly_visible
probe_country_service,,19,19,19,0,0,True,NL,L-Root,resolved_entry_only
probe_country_service,,58,58,58,0,0,True,NO,L-Root,all_publicly_visible
probe_country_service,,58,58,58,0,0,True,NO,L-Root,resolved_entry_only
probe_country_service,,87,87,87,0,0,True,NZ,L-Root,all_publicly_visible
probe_country_service,,87,87,87,0,0,True,NZ,L-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,PA,L-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,PA,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,PE,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,PE,L-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,PG,L-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,PG,L-Root,resolved_entry_only
probe_country_service,,91,91,91,0,0,True,PH,L-Root,all_publicly_visible
probe_country_service,,89,89,89,0,0,True,PH,L-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,PK,L-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,PK,L-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,PL,L-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,PL,L-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,PT,L-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,PT,L-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,QA,L-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,QA,L-Root,resolved_entry_only
probe_country_service,,35,35,35,0,0,True,RE,L-Root,all_publicly_visible
probe_country_service,,35,35,35,0,0,True,RE,L-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,RO,L-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,RO,L-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,RS,L-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,RS,L-Root,resolved_entry_only
probe_country_service,,49,49,49,0,0,True,RU,L-Root,all_publicly_visible
probe_country_service,,49,49,49,0,0,True,RU,L-Root,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,RW,L-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,RW,L-Root,resolved_entry_only
probe_country_service,,8,8,8,0,0,True,SA,L-Root,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,SA,L-Root,resolved_entry_only
probe_country_service,,98,98,98,0,0,True,SE,L-Root,all_publicly_visible
probe_country_service,,98,98,98,0,0,True,SE,L-Root,resolved_entry_only
