probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
?,M-Root,all_publicly_visible,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
?,M-Root,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
AD,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6.0,6.0,1.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,3.0,1.0,1.0,0.0,1.0,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
AD,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6.0,6.0,1.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,3.0,1.0,1.0,0.0,1.0,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
AE,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,46.0,46.0,7.0,landing_region_5d023e72c246::landing_region_b37879c52c2b,0.30434782608695654,0.6086956521739131,0.9130434782608696,1.4039988959586427,0.7215127053221065,4.071448756560252,weak_corridor_observation_concentration,True,True,True,14.0,9.0,1.0,0.9782608695652174,0.021739130434782608,0.7391304347826086,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,probe_country_service
AE,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,46.0,46.0,7.0,landing_region_5d023e72c246::landing_region_b37879c52c2b,0.30434782608695654,0.6086956521739131,0.9130434782608696,1.4039988959586427,0.7215127053221065,4.071448756560252,weak_corridor_observation_concentration,True,True,True,14.0,9.0,1.0,0.9782608695652174,0.021739130434782608,0.7391304347826086,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,probe_country_service
AF,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6.0,6.000000000000001,4.0,landing_region_1b3a8d836a7d::landing_region_af2b1cb46785,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0027182645175161,0.7233083338141042,2.72568088924821,weak_corridor_observation_concentration,True,False,False,2.0,1.0,1.0,0.33333333333333326,0.6666666666666665,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
AF,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6.0,6.000000000000001,4.0,landing_region_1b3a8d836a7d::landing_region_af2b1cb46785,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0027182645175161,0.7233083338141042,2.72568088924821,weak_corridor_observation_concentration,True,False,False,2.0,1.0,1.0,0.33333333333333326,0.6666666666666665,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
AL,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,34.0,34.0,7.0,landing_region_6c6f20567c17::landing_region_ac34543a7a05,0.5588235294117647,0.6764705882352942,0.7941176470588236,1.3916583793926007,0.7151709343148311,4.021513721504523,broad_corridor_observation_distribution,False,False,True,13.0,10.0,1.0,0.35294117647058826,0.6470588235294118,0.35294117647058826,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,probe_country_service
AL,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,34.0,34.0,7.0,landing_region_6c6f20567c17::landing_region_ac34543a7a05,0.5588235294117647,0.6764705882352942,0.7941176470588236,1.3916583793926007,0.7151709343148311,4.021513721504523,broad_corridor_observation_distribution,False,False,True,13.0,10.0,1.0,0.35294117647058826,0.6470588235294118,0.35294117647058826,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,probe_country_service
